國文,英文,數學,地理,歷史
93,69,84,68,68
74,67,75,62,95
65,71,83,56,91
69,67,62,83,68
84,71,98,54,92
66,95,79,79,98
88,60,58,79,68
69,83,63,95,87
89,89,52,91,54
93,69,66,59,75
68,68,53,60,79
69,89,90,100,92
80,79,76,51,91
63,98,81,98,81
100,99,58,99,97
64,89,66,75,99
69,86,72,61,78
56,93,84,92,82
54,58,52,95,63
80,90,81,52,65
78,99,79,95,92
66,50,87,67,50
97,97,52,66,83
68,70,53,79,64
74,83,66,65,69
72,69,76,52,87
98,67,64,71,63
73,96,70,81,94
96,56,77,63,67
62,51,53,96,95
54,80,89,83,51
97,76,52,85,92
58,62,52,50,64
82,77,52,65,66
58,86,78,98,77
50,85,53,84,95
59,60,58,57,77
96,61,66,54,92
54,85,92,65,97
75,63,64,100,75
55,55,97,71,71
66,51,77,71,98
80,74,60,55,68
90,80,66,95,82
70,61,51,89,97
94,74,75,84,98
63,82,58,54,83
77,75,85,68,95
98,74,87,91,73
83,76,57,98,69
